0,3.82
1,1.11
2,0.63
3,0.45
4,0.37
5,0.33
6,0.32
7,0.28
8,0.28
9,0.28
10,0.3
11,0.29
12,0.3
13,0.29
14,0.3
15,0.34
16,0.35
17,0.39
18,0.41
19,0.43
20,0.47
21,0.47
22,0.5
23,0.54
24,0.56
25,0.58
26,0.57
27,0.59
28,0.61
29,0.68
30,0.7
31,0.77
32,0.81
33,0.83
34,0.94
35,1.03
36,1.06
37,1.14
38,1.21
39,1.34
40,1.51
41,1.55
42,1.82
43,1.89
44,2.07
45,2.31
46,2.36
47,2.54
48,3.11
49,3.28
50,3.64
51,3.75
52,3.98
53,4.41
54,4.98
55,5.18
56,5.64
57,6.09
58,6.81
59,7.67
60,8.54
61,9.38
62,10.38
63,11.12
64,13.01
65,14.21
66,14.74
67,17.23
68,18.64
69,21.91
70,25.57
71,26.73
72,30.94
73,33.59
74,37.44
75,41.51
76,42.19
77,50.97
78,56.2
79,62.12
80,74.28
81,77.91
82,85.81
83,93.52
84,103.63
85,111
86,118.88
87,130.07
88,144.18
89,156.87
90,176.52
91,185.24
92,202.11
93,207.35
94,208.91
95,220.01
96,220.99
97,204.84
98,198.13
99,257.65
