117.96,
121.06,
119.66,
118.55,
118.24,
118.45,
118.68,
118.83,
118.9,
118.45,
118.23,
117.3,
116.57,
115.53,
113.92,
112.06,
108.89,
107.45,
107.33,
105.88,
102.71,
101.2,
100.72,
100.45,
99.34,
100.06,
100.5,
101.26,
102,
102.7,
103.01,
104.28,
103.6,
104.49,
104.59,
104.32,
104.23,
104.92,
104.93,
105.4,
104.39,
104.01,
104.02,
103.4,
104.2,
104.63,
103.29,
104.83,
103.8,
100.49,
104.55,
106.61,
106.49,
105.53,
102.81,
103.89,
102.56,
101.3,
101.74,
100.73,
103.22,
105.54,
102.91,
103.66,
101.61,
101.22,
103.34,
101.65,
101.77,
101.41,
101.63,
98.94,
100.15,
98.58,
95.12,
91.46,
90.18,
90.91,
87.35,
87.53,
84.94,
80.68,
78.48,
75.82,
72.36,
68.98,
65.22,
62.32,
60.66,
58.16,
53.91,
51.71,
48.66,
46.79,
46.32,
44.64,
46.07,
47.3,
50.52,
47.91,
32.69,
